Part (Strand),Chapter (Substrand),Section,Core/Essential,Section Assigned to:,Section Status,Content summary,Key Takeaways,Learner Experience Assigned to:,Suggested Learning Experience,Example / Exercise Ideas,Animation?,LO 1,LO 2,LO 3,LO 4,PTX File,Open Source Resource 1,Open Source ID 1,Open Source Title 1,Open Source Resource 2,Open Source ID 2,Open Source Title 2,Open Source Resource 3,Open Source ID 3,Open Source Title 3,Open Source Resource 4,Open Source ID 4,Open Source Title 4,Activity Done,Key Takeaway Done,Theory Done,Examples Done,STACK Done,Exercises Done,Lesson Guidance Done,Order
Calculus,Differentiation I,Differentiation in Real Life,Core,Ben,"Activity Missing, Key Takeaway Missing, Theory Missing, Examples Missing, STACK Missing, Exercises Missing, Lesson Guidance Missing","Practical Applications of the Derivative eg 
- The Rate of Reaction: Chemists use derivatives to determine how fast a reactant is being consumed or how fast a product is being formed at a specific second.
",,Ben,SA of a sphere = derivative of volume. Circumference = derivative of area of circle. ,"Application methods using numerical differentiation - central vs forward vs backward differentiation, etc",,Appreciate the use of differentiation in real life,,,,,PRECALC,fs-id1165135546098,Using Instantaneous Rates of Change to Solve Real-World Problems,,,,,,,,,,0,0,0,0,0,0,0,136
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ministry suggests 5 lessons per week of maths, assume 35 teaching weeks in a school year, so 175 lessons total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
